名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,順位最終,最終票数
盗賊シプリア ,56,0.29%,,帝国封印剣士フォルテ,56,0.29%,,,,
ぬらりひょんの娘カスミ ,57,0.28%,,闇使いの剣士シェイド,57,0.27%,,,,
魔界森の番人リナリア ,58,0.28%,,復讐者ヴィンセント,58,0.27%,,,,
復讐者ヴィンセント ,59,0.28%,,姫騎士パテル,59,0.27%,,,,
慈愛の祈りサーリア ,60,0.26%,,盗賊シプリア,60,0.26%,,,,
蒼竜のリキュノス ,61,0.26%,,慈愛の祈りサーリア,61,0.26%,,,,
姫侍シズカ ,62,0.25%,,蒼竜のリキュノス,61,0.26%,,,,
帝国猟兵レーゼル ,63,0.25%,,魔界森の番人リナリア,63,0.25%,,,,
聖槍の守護者ネフティ ,64,0.24%,,死霊魔術師アニエス,64,0.24%,,,,
癒し手ドルカ ,65,0.24%,,癒し手ドルカ,65,0.23%,,,,
闇使いの剣士シェイド ,66,0.24%,,聖槍の守護者ネフティ,66,0.23%,,,,
光の盾ジェリウス ,67,0.23%,,ロゼット,67,0.22%,,,,
ロゼット ,68,0.23%,,鍛冶職人サンディー,68,0.21%,,,,
癒し手アリサ ,69,0.21%,,癒し手アリサ,69,0.21%,,,,
鍛冶職人サンディー ,70,0.20%,,神官戦士セラ,70,0.20%,,,,
神官戦士セラ ,71,0.20%,,光の盾ジェリウス,71,0.20%,,,,
剣士ミーティア ,72,0.19%,,森の守り手ローリエ,72,0.19%,,,,
裏切りの魔神ルル ,73,0.19%,,妖魔の侍女リーナ,73,0.19%,,,,
聖鎚闘士ミランダ ,74,0.19%,,聖鎚闘士ミランダ,74,0.19%,,,,
黒衣の花嫁カルマ ,75,0.18%,,魔狼巫女プニル,75,0.18%,,,,
鍛冶職人ゴルドー ,76,0.17%,,屍骸道士ランファ,76,0.17%,,,,
屍骸道士ランファ ,77,0.17%,,剣士ミーティア,77,0.17%,,,,
巫女姫ププル ,78,0.16%,,巫女姫ププル,78,0.17%,,,,
吸血鬼狩人フーリ ,79,0.16%,,黒衣の花嫁カルマ,79,0.16%,,,,
妖魔の侍女リーナ ,80,0.16%,,剣士サンドラ,80,0.16%,,,,
魔狼巫女プニル ,81,0.16%,,砂漠兵士,81,0.15%,,,,
魔狩人ヴィクトリア ,82,0.16%,,竜騎士ルシル,82,0.15%,,,,
大盾の乙女ベルニス ,83,0.16%,,帝国天馬騎士イザベル,83,0.15%,,,,
竜騎士ルシル ,84,0.15%,,大盾の乙女ベルニス,84,0.14%,,,,
白兎の道化師リェプル ,85,0.15%,,鍛冶職人ゴルドー,84,0.14%,,,,
鉄甲闘士モモ ,86,0.14%,,鉄甲闘士モモ,86,0.14%,,,,
弓騎兵カティナ ,87,0.14%,,魔狩人ヴィクトリア,87,0.14%,,,,
砂漠兵士 ,88,0.14%,,闇司祭プシュケ,88,0.14%,,,,
剣士サンドラ ,89,0.14%,,裏切りの魔神ルル,89,0.13%,,,,
